id,name,description,price,category,image,is_veg,restaurant_id,is_available
17,Sweet and Sour Chicken,Crispy chicken in tangy sauce,249,Chinese,https://images.unsplash.com/photo-1626804475297-41608ea09aeb?w=400&h=300&fit=crop,false,5,true
18,Fried Rice,Egg fried rice with vegetables,169,Chinese,https://images.unsplash.com/photo-1603133872878-684f208fb84b?w=400&h=300&fit=crop,true,5,true
19,Kung Pao Chicken,Spicy chicken with peanuts,269,Chinese,https://images.unsplash.com/photo-1525755662778-989d0524087e?w=400&h=300&fit=crop,false,5,true
20,Vegetable Chow Mein,Stir-fried noodles with vegetables,189,Chinese,https://images.unsplash.com/photo-1585032226651-759b368d7246?w=400&h=300&fit=crop,true,5,true
21,Spaghetti Carbonara,Creamy pasta with bacon,299,Pasta,https://images.unsplash.com/photo-1612874742237-6526221588e3?w=400&h=300&fit=crop,false,6,true
22,Fettuccine Alfredo,Rich and creamy Alfredo sauce,279,Pasta,https://images.unsplash.com/photo-1645112411341-6c4fd023714a?w=400&h=300&fit=crop,true,6,true
23,Penne Arrabbiata,Spicy tomato sauce pasta,259,Pasta,https://images.unsplash.com/photo-1621996346565-e3dbc646d9a9?w=400&h=300&fit=crop,true,6,true
24,Lasagna,Layered pasta with meat sauce,329,Pasta,https://images.unsplash.com/photo-1574894709920-11b28e7367e3?w=400&h=300&fit=crop,false,6,true
25,BBQ Ribs,Fall-off-the-bone tender ribs,399,BBQ,https://images.unsplash.com/photo-1544025162-d76694265947?w=400&h=300&fit=crop,false,7,true
26,Pulled Pork Sandwich,Slow-cooked pork with coleslaw,289,BBQ,https://images.unsplash.com/photo-1509722747041-616f39b57569?w=400&h=300&fit=crop,false,7,true
27,Brisket Plate,Smoked brisket with sides,449,BBQ,https://images.unsplash.com/photo-1529193591184-b1d58069ecdd?w=400&h=300&fit=crop,false,7,true
28,Grilled Chicken,BBQ grilled chicken breast,299,BBQ,https://images.unsplash.com/photo-1598103442097-8b74394b95c6?w=400&h=300&fit=crop,false,7,true
29,Pad Thai,Stir-fried noodles with peanuts,239,Thai,https://images.unsplash.com/photo-1559314809-0d155014e29e?w=400&h=300&fit=crop,false,8,true
30,Green Curry,Spicy coconut curry with vegetables,259,Thai,https://images.unsplash.com/photo-1455619452474-d2be8b1e70cd?w=400&h=300&fit=crop,true,8,true
31,Tom Yum Soup,Hot and sour Thai soup,189,Thai,https://images.unsplash.com/photo-1569562211093-4ed0d0758f12?w=400&h=300&fit=crop,false,8,true
32,Mango Sticky Rice,Sweet coconut rice with mango,149,Thai,https://images.unsplash.com/photo-1596040033229-a0b5b8f94042?w=400&h=300&fit=crop,true,8,true
33,Chicken Tikka Masala,Creamy tomato curry with chicken,279,Indian,https://images.unsplash.com/photo-1565557623262-b51c2513a641?w=400&h=300&fit=crop,false,9,true
34,Naan Bread,Fresh baked Indian flatbread,49,Indian,https://images.unsplash.com/photo-1601050690597-df0568f70950?w=400&h=300&fit=crop,true,9,true
35,Palak Paneer,Spinach curry with cottage cheese,259,Indian,https://images.unsplash.com/photo-1631452180519-c014fe946bc7?w=400&h=300&fit=crop,true,9,true
36,Biryani Rice,Fragrant spiced rice with meat,299,Indian,https://images.unsplash.com/photo-1563379091339-03b21ab4a4f8?w=400&h=300&fit=crop,false,9,true
37,Chicken Shawarma,Marinated chicken in pita bread,219,Mediterranean,https://images.unsplash.com/photo-1603360946369-dc9bb6258143?w=400&h=300&fit=crop,false,10,true
38,Falafel Wrap,Crispy chickpea fritters in wrap,199,Mediterranean,https://images.unsplash.com/photo-1593858509729-7b1b6c3fe2f0?w=400&h=300&fit=crop,true,10,true
39,Greek Salad,Fresh vegetables with feta cheese,179,Mediterranean,https://images.unsplash.com/photo-1540189549336-e6e99c3679fe?w=400&h=300&fit=crop,true,10,true
40,Hummus Platter,Creamy hummus with pita bread,159,Mediterranean,https://images.unsplash.com/photo-1571068316344-75bc76f77890?w=400&h=300&fit=crop,true,10,true
